127.0.0.1 - - [23/Mar/2016:09:15:01 -0400] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:02 -0400] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /index.htm HTTP/1.1" 200 9181
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /index.htm;jsessionid=C7FE30520C3AD0C4AA8E67C79178BFFA HTTP/1.1" 200 9181
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /style/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /style/css/style.css HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:05 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Website%20Pic.jpg HTTP/1.1" 200 1213973
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:06 -0400] "GET /index.htm HTTP/1.1" 200 9181
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:41 -0400] "GET /index.htm HTTP/1.1" 200 9181
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Skiier2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Soccer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Canoeing.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:15:42 -0400] "GET /index.htm HTTP/1.1" 200 9181
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:17:13 -0400] "GET /index.htm HTTP/1.1" 200 9189
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:17:13 -0400] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:17:13 -0400] "GET /style/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:09:17:13 -0400] "GET /style/js/AdNature.js HTTP/1.1" 304 -
