127.0.0.1 - - [07/Mar/2016:10:27:42 -0500] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:14 -0500] "GET /WEB-INF/view/index.ftl HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:26 -0500] "GET /index.htm HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:26 -0500] "GET /style/css/about.css HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:26 -0500] "GET /style/js/AdNature.js HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:26 -0500] "GET /style/css/style.css HTTP/1.1" 200 4687
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/Search%20Bar%203.png HTTP/1.1" 200 8592
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/Locations.PNG HTTP/1.1" 200 16017
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/Dark%20Dot.png HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/Light%20Dot.png HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/Map.png HTTP/1.1" 200 29196
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/logo.png HTTP/1.1" 200 576904
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/Door.jpg HTTP/1.1" 200 31559
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/outdoors.png HTTP/1.1" 200 143467
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/Walking.jpg HTTP/1.1" 200 22823
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/twitter.png HTTP/1.1" 200 27482
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/facebook.png HTTP/1.1" 200 34462
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/instagram40x40.png HTTP/1.1" 200 5154
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:27 -0500] "GET /style/Website%20Pic.jpg HTTP/1.1" 200 1213973
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:28 -0500] "GET /style/css/overlock-regular.ttf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:10:28:28 -0500] "GET /index.htm HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:32 -0500] "POST /logincheck.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:32 -0500] "GET /index.htm HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:32 -0500] "GET /style/css/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:32 -0500] "GET /style/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:32 -0500] "GET /style/js/AdNature.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/Search%20Bar%203.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/Locations.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/outdoors.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/Dark%20Dot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/Light%20Dot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/instagram40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/Website%20Pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/Door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/Map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:33 -0500] "GET /style/Walking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:34 -0500] "GET /style/css/overlock-regular.ttf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:34 -0500] "GET /index.htm HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /index.htm HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/css/about.css HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/css/style.css HTTP/1.1" 200 4687
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/js/AdNature.js HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/logo.png HTTP/1.1" 200 576904
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/Search%20Bar%203.png HTTP/1.1" 200 8592
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/Locations.PNG HTTP/1.1" 200 16017
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/Door.jpg HTTP/1.1" 200 31559
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/Map.png HTTP/1.1" 200 29196
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/Walking.jpg HTTP/1.1" 200 22823
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/Dark%20Dot.png HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/Light%20Dot.png HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/outdoors.png HTTP/1.1" 200 143467
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/twitter.png HTTP/1.1" 200 27482
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/facebook.png HTTP/1.1" 200 34462
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/instagram40x40.png HTTP/1.1" 200 5154
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:11 -0500] "GET /style/css/overlock-regular.ttf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:12 -0500] "GET /style/Website%20Pic.jpg HTTP/1.1" 200 1213973
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:12 -0500] "GET /index.htm HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:12 -0500] "GET /style/Transparent%20Mountain.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:12 -0500] "GET /index.htm HTTP/1.1" 200 6367
