127.0.0.1 - - [15/Mar/2016:09:46:48 -0400] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:09:46:49 -0400] "GET /WEB-INF/view/searchresults.ftl HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:09:47:01 -0400] "GET /searchresults.htm HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:09:47:05 -0400] "GET /searchresults.htm HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:09:47:37 -0400] "GET /searchresults.htm HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:09:47:37 -0400] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:09:48:06 -0400] "GET /searchresults.htm HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:09:48:49 -0400] "GET /searchresults.htm HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [15/Mar/2016:09:49:40 -0400] "GET /searchresults.htm HTTP/1.1" 404 -
