127.0.0.1 - - [10/Mar/2016:09:31:25 -0500] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:26 -0500] "GET /WEB-INF/view/account/index.ftl HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:39 -0500] "GET /index.htm HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:39 -0500] "GET /style/css/about.css HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:39 -0500] "GET /style/css/style.css HTTP/1.1" 200 5025
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:39 -0500] "GET /style/js/AdNature.js HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/Locations.PNG HTTP/1.1" 200 54289
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/Search%20Bar%203.png HTTP/1.1" 200 8592
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/Walking.jpg HTTP/1.1" 200 16635
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/logo.png HTTP/1.1" 200 576904
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/Door.jpg HTTP/1.1" 200 31559
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/twitter.png HTTP/1.1" 200 27482
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/Soccer.png HTTP/1.1" 200 159571
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/outdoors.png HTTP/1.1" 200 143467
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/facebook.png HTTP/1.1" 200 34462
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/instagram40x40.png HTTP/1.1" 200 5154
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/Canoeing.png HTTP/1.1" 200 340551
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/Map.png HTTP/1.1" 200 50687
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:31:40 -0500] "GET /style/Website%20Pic.jpg HTTP/1.1" 200 1213973
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:33:15 -0500] "GET /account/index.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:09:33:15 -0500] "GET /index.htm HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [10/Mar/2016:10:01:17 -0500] "GET /register.htm HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [10/Mar/2016:10:01:17 -0500] "GET /style/css/signuppage.css HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [10/Mar/2016:10:01:17 -0500] "GET /style/background%20forest%20transparent.png HTTP/1.1" 200 654370
0:0:0:0:0:0:0:1 - - [10/Mar/2016:10:02:58 -0500] "POST /saveinfo.htm HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [10/Mar/2016:10:03:00 -0500] "GET /account/index.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2016:10:03:00 -0500] "GET /index.htm HTTP/1.1" 200 7708
